                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 115.03,                      0,                      0,                      0,                      0,                      0,                      0,                 123.03,                      0,             0.00023338,             0.00023338,             0.00023338
                      2,                      0,                     97,                      0,                      0,                      0,                      0,                      0,                      0,                 126.15,                      0,             0.00047864,             0.00047864,             0.00047864
                      3,                      0,                 88.023,                      0,                      0,                      0,                      0,                      0,                      0,                  82.69,                      0,             0.00071896,             0.00071896,             0.00071896
                      4,                      0,                 80.212,                      0,                      0,                      0,                      0,                      0,                      0,                 61.852,                      0,             0.00095432,             0.00095432,             0.00095432
                      5,                      0,                 76.978,                      0,                      0,                      0,                      0,                      0,                      0,                 52.757,                      0,              0.0011847,              0.0011847,              0.0011847
                      6,                      0,                 69.684,                      0,                      0,                      0,                      0,                      0,                      0,                 46.448,                      0,              0.0014102,              0.0014102,              0.0014102
                      7,                      0,                 64.245,                      0,                      0,                      0,                      0,                      0,                      0,                 46.561,                      0,               0.001568,               0.001568,               0.001568
                      8,                      0,                  59.25,                      0,                      0,                      0,                      0,                      0,                      0,                 45.073,                      0,               0.001568,               0.001568,               0.001568
                      9,                      0,                 54.135,                      0,                      0,                      0,                      0,                      0,                      0,                 44.203,                      0,              0.0015515,              0.0015515,              0.0015515
                     10,                      0,                 49.492,                      0,                      0,                      0,                      0,                      0,                      0,                 50.506,                      0,               0.001535,               0.001535,               0.001535
